1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
70	-1.018486	-1.045783	0.000055	1.123436	9548.764438	0.000967	0.000001	0.000880	1.6	0.8	2.8
71	-1.041726	-1.070793	0.000058	2.123436	9135.816962	0.001436	0.000001	0.001392	2.1	0.9	3.4
72	-1.028222	-1.056850	0.000057	1.497914	9389.824909	0.001392	0.000001	0.001331	1.6	0.8	2.9
73	-1.015417	-1.043967	0.000057	0.872393	9658.361435	0.001252	0.000001	0.001161	1.6	0.8	2.9
74	-1.057928	-1.089333	0.000063	1.872391	9236.090785	0.001196	0.000001	0.001134	1.6	0.8	2.9
75	-1.039333	-1.067597	0.000057	1.246869	9495.784515	0.001099	0.000001	0.001034	1.6	0.8	2.9
76	-1.034706	-1.063266	0.000057	2.246667	9087.387728	0.001183	0.000001	0.001118	1.7	1.1	3.2
77	-1.045774	-1.075312	0.000059	1.621146	9338.672769	0.001711	0.000001	0.001649	1.7	0.8	2.9
78	-1.008926	-1.040162	0.000062	0.995624	9604.250123	0.001553	0.000001	0.001508	1.6	0.8	2.8
79	-1.022972	-1.054007	0.000062	0.370103	9885.374835	0.000945	0.000001	0.000860	1.7	0.8	2.9
80	-1.071966	-1.102873	0.000062	1.314469	9467.017675	0.001205	0.000001	0.001159	1.6	0.8	2.8
81	-1.061467	-1.091360	0.000060	0.688948	9740.051764	0.000891	0.000001	0.000813	1.6	0.8	2.8
82	-1.038233	-1.069330	0.000062	1.688948	9310.765600	0.001347	0.000001	0.001282	2.1	0.8	3.4
83	-1.054507	-1.086094	0.000063	1.063427	9574.735620	0.001231	0.000001	0.001177	1.6	0.8	2.9
84	-1.046772	-1.078656	0.000064	0.437976	9854.077298	0.001385	0.000001	0.001330	1.6	0.8	2.9
85	-1.076107	-1.107476	0.000063	1.437976	9414.907690	0.001628	0.000001	0.001554	1.6	0.8	2.9
86	-1.101347	-1.134747	0.000067	0.812455	9684.901428	0.001158	0.000001	0.001084	1.6	0.8	2.8
87	-1.053799	-1.086845	0.000066	0.186934	9970.837715	0.000838	0.000001	0.000763	1.7	1.1	3.2
88	-1.058358	-1.092265	0.000068	0.000000	10059.594122	0.000919	0.000001	0.000819	1.7	0.8	3.1
89	-1.082602	-1.117481	0.000070	0.000000	10059.594122	0.001081	0.000001	0.000997	1.6	0.8	2.9
90	-1.070500	-1.103670	0.000066	0.000000	10059.594122	0.000925	0.000001	0.000818	1.6	0.8	2.8
91	-1.081404	-1.115494	0.000068	0.000000	10059.594122	0.000968	0.000001	0.000887	1.6	0.8	2.8
92	-1.072864	-1.107580	0.000069	0.000000	10059.594122	0.001243	0.000001	0.001160	1.6	0.8	2.9
93	-1.057510	-1.092526	0.000070	0.000000	10059.594122	0.000936	0.000001	0.000861	2.0	0.9	3.4
94	-1.073579	-1.109041	0.000071	0.000000	10059.594122	0.000907	0.000001	0.000803	1.6	0.8	2.8
95	-1.099104	-1.135556	0.000073	0.000000	10059.594122	0.001411	0.000001	0.001355	1.6	0.8	2.9
96	-1.073068	-1.109839	0.000074	0.000000	10059.594122	0.001312	0.000001	0.001267	1.6	0.8	2.8
97	-1.070965	-1.106185	0.000070	1.000000	9602.339844	0.001151	0.000001	0.001088	1.6	0.8	2.9
98	-1.083445	-1.119361	0.000072	0.374479	9883.351100	0.000964	0.000001	0.000870	1.9	1.0	3.3
