1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
296	-0.532042	12.837481	138.743647	0.004471	2.1
297	-0.269139	12.880851	138.566045	0.003233	1.9
298	-0.241731	12.924221	138.388898	0.004268	2.1
299	-0.269627	12.967591	138.212202	0.006818	2.0
300	-0.204507	13.010961	138.035958	0.002571	2.1
301	-0.272026	13.054330	137.860162	0.004087	2.0
302	-0.725822	13.097700	137.684814	0.015357	2.8
303	-0.380604	13.141070	137.509911	0.005403	2.1
304	-0.327937	13.184440	137.335452	0.003999	2.0
305	-0.202543	13.227810	137.161435	0.004468	1.9
306	-0.244787	13.271180	136.987858	0.002596	2.0
307	-0.256561	13.314550	136.814721	0.004352	2.0
308	-0.069556	13.357920	136.642020	0.003093	2.0
309	-0.189121	13.401289	136.469755	0.003244	2.0
310	-0.567995	13.444659	136.297923	0.005654	2.7
311	-0.646739	13.488029	136.126524	0.006675	2.5
312	-0.410213	13.531399	135.955555	0.004403	2.5
313	-0.530022	13.574769	135.785015	0.007357	2.0
314	-0.351622	13.618139	135.614903	0.003949	1.9
315	-0.537195	13.661509	135.445216	0.006740	2.1
316	-0.287414	13.704879	135.275953	0.004100	1.9
317	-0.134551	13.748248	135.107113	0.004398	2.7
318	-0.302387	13.791618	134.938694	0.004648	2.1
319	-0.115799	13.834988	134.770694	0.002747	2.1
320	-0.150589	13.878358	134.603112	0.003419	2.1
321	-0.315215	13.921728	134.435946	0.004843	2.0
322	-0.657331	13.965098	134.269195	0.007343	2.0
323	-0.211557	14.008468	134.102857	0.005696	1.8
324	-0.285661	14.051837	133.936931	0.004853	2.2
325	-0.263475	14.095207	133.771415	0.003186	2.4
326	-0.197000	14.138577	133.606307	0.002722	2.0
327	-0.269924	14.181947	133.441606	0.001878	2.0
328	-0.186880	14.225317	133.277311	0.003749	2.1
329	-0.542661	14.268687	133.113420	0.006511	2.1
330	-0.195733	14.312057	132.949932	0.002916	1.9
331	-0.226815	14.355427	132.786845	0.005795	1.8
332	-0.187191	14.398796	132.624157	0.003419	2.5
333	-0.123110	14.442166	132.461867	0.005636	2.3
334	-0.238142	14.485536	132.299975	0.002279	1.9
335	-0.322511	14.528906	132.138477	0.003361	1.9
336	-0.109212	14.572276	131.977373	0.003050	2.0
337	-0.248861	14.615646	131.816662	0.003224	1.8
338	-0.229016	14.659016	131.656341	0.002652	2.0
