1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
358	-0.186905	17.509421	1.810474	0.006781	2.4
359	-0.175087	16.545343	1.856963	0.007588	2.4
360	-0.189320	15.582716	1.905826	0.008267	2.4
361	-0.178549	14.632702	1.956638	0.004745	2.3
362	-0.190740	13.716220	2.008292	0.002797	2.8
363	-0.192793	14.015541	1.991125	0.010632	2.5
364	-0.186975	13.685038	2.010097	0.008683	2.4
365	-0.179805	14.685038	1.953769	0.006042	2.3
366	-0.192613	15.621543	1.903806	0.006055	2.4
367	-0.176382	15.075136	1.932642	0.008734	2.4
368	-0.184724	14.865320	1.943948	0.013031	2.3
369	-0.164528	13.901305	1.997642	0.003880	2.6
370	-0.185299	14.515024	1.963121	0.007573	2.6
371	-0.169054	13.921102	1.996509	0.009986	2.7
372	-0.180515	14.920969	1.940936	0.004655	2.4
373	-0.190642	14.845821	1.945005	0.008753	2.4
374	-0.186568	15.810435	1.894036	0.006105	2.4
375	-0.172778	15.503507	1.909962	0.006515	2.7
376	-0.179278	16.492253	1.859592	0.009041	2.5
377	-0.177123	16.864599	1.841306	0.006792	2.4
378	-0.166449	17.864364	1.793939	0.015683	2.4
379	-0.203481	18.857165	1.749254	0.008448	2.4
380	-0.185169	17.893129	1.792612	0.009229	2.4
381	-0.180879	16.934123	1.837931	0.006588	2.4
382	-0.189597	16.105448	1.878978	0.010447	2.7
383	-0.166727	16.568316	1.855827	0.011222	2.4
384	-0.188604	15.604283	1.904704	0.007937	2.4
385	-0.198255	14.642140	1.956120	0.010614	2.3
386	-0.204793	13.680248	2.010375	0.010449	2.4
387	-0.177426	14.680248	1.954031	0.007705	2.4
388	-0.194832	15.654694	1.902084	0.015550	2.5
389	-0.181877	16.088682	1.879827	0.008733	2.5
390	-0.179366	15.124603	1.929995	0.007489	2.4
391	-0.178172	16.124599	1.878008	0.008629	2.4
392	-0.190429	17.060317	1.831837	0.005781	2.4
393	-0.166553	16.575018	1.855496	0.009447	2.4
394	-0.180912	15.612379	1.904282	0.008642	2.4
395	-0.163743	16.540809	1.857187	0.007275	2.7
396	-0.175878	17.538770	1.809095	0.008416	2.4
397	-0.196344	18.537950	1.763377	0.003277	2.4
398	-0.176925	19.527347	1.720327	0.011380	2.4
399	-0.184789	20.516895	1.679324	0.011175	2.3
400	-0.185628	19.552817	1.719247	0.003901	2.3
401	-0.172275	20.552600	1.677881	0.009847	2.4
402	-0.183317	21.549755	1.638560	0.010123	2.9
403	-0.179532	22.549744	1.600935	0.004503	2.5
404	-0.177445	21.586696	1.637138	0.009690	2.4
405	-0.185860	22.586597	1.599581	0.006298	2.3
406	-0.190043	23.585936	1.563729	0.011358	2.3
407	-0.167628	22.624724	1.598183	0.009326	2.3
408	-0.197251	21.660877	1.634291	0.005894	2.6
409	-0.165292	20.696837	1.672077	0.011353	2.4
410	-0.201014	19.732956	1.711644	0.010659	2.4
411	-0.197112	20.731806	1.670676	0.006596	2.3
412	-0.179229	21.027822	1.658908	0.011167	2.3
413	-0.172325	20.102082	1.696272	0.007747	2.4
414	-0.187752	19.138003	1.737015	0.009452	2.4
415	-0.183573	18.173926	1.779763	0.004836	2.8
416	-0.181801	17.214464	1.824448	0.007404	2.5
417	-0.193183	16.297515	1.869302	0.011429	2.3
418	-0.172113	17.246802	1.822906	0.007137	2.4
419	-0.173260	16.942480	1.837526	0.006434	2.4
420	-0.191537	16.032142	1.882697	0.011453	2.4
421	-0.166247	17.031950	1.833204	0.007288	2.3
422	-0.170807	16.069436	1.880803	0.007569	2.6
423	-0.187741	16.955795	1.836882	0.005411	2.4
424	-0.185590	17.688219	1.802107	0.009321	2.4
425	-0.196119	16.749060	1.846942	0.009199	2.3
426	-0.183200	15.784989	1.895347	0.009860	2.3
427	-0.171619	14.980252	1.937738	0.006742	2.4
428	-0.209299	15.675319	1.901014	0.005519	2.6
429	-0.163112	15.337192	1.918704	0.007521	2.9
430	-0.172215	16.185962	1.874909	0.006274	2.6
431	-0.166314	17.161771	1.826967	0.004885	2.4
432	-0.188268	16.293650	1.869495	0.008803	2.3
433	-0.194303	15.346860	1.918193	0.008414	2.3
434	-0.195385	16.292301	1.869563	0.007414	2.3
435	-0.190881	16.615914	1.853479	0.010203	3.1
436	-0.181632	17.612629	1.805635	0.008859	3.2
437	-0.175080	18.612175	1.760073	0.007271	2.6
438	-0.168940	17.761026	1.798722	0.009659	2.6
439	-0.179760	16.798260	1.844537	0.011320	2.6
440	-0.184170	17.795400	1.797128	0.009054	2.7
441	-0.156653	18.795383	1.751970	0.004872	3.0
442	-0.192513	17.987527	1.788272	0.008356	2.7
443	-0.187247	18.974972	1.744099	0.012150	2.4
444	-0.169222	19.974972	1.701534	0.007415	2.4
445	-0.181693	19.086040	1.739267	0.011259	2.4
446	-0.169032	18.121999	1.782125	0.010941	2.4
447	-0.170962	17.157925	1.827151	0.005865	2.8
448	-0.177010	16.194137	1.874497	0.005102	2.5
449	-0.180584	15.635196	1.903096	0.007517	2.3
450	-0.180732	15.319127	1.919658	0.007471	2.3
451	-0.175807	14.355599	1.971974	0.010756	2.3
452	-0.176047	13.432126	2.024862	0.010305	2.3
453	-0.171165	14.431069	1.967773	0.006449	2.4
454	-0.181340	15.280354	1.921710	0.007269	2.4
455	-0.195766	16.216320	1.873380	0.009287	2.4
456	-0.192274	17.214816	1.824431	0.007907	2.4
457	-0.182057	16.250799	1.871646	0.005091	2.4
458	-0.179752	15.333886	1.918878	0.009108	2.3
459	-0.188757	14.769090	1.949178	0.011344	2.3
460	-0.171453	13.805011	2.003169	0.012613	2.7
461	-0.179577	12.840932	2.060236	0.013589	2.4
462	-0.186196	13.839917	2.001162	0.005151	2.3
463	-0.163471	13.667060	2.011140	0.007350	2.4
464	-0.180078	13.045984	2.047828	0.008264	2.4
465	-0.168975	12.084938	2.107313	0.005730	2.4
